Problem,C++,Python,Java,Fortran
1,6.28E-05,4.10E-04,,
2,6.25E-05,7.82E-05,,
3,1.33E-02,2.16E-01,,
4,1.59E-02,6.48E+00,,
5,6.15E-05,1.76E-04,,
6,3.63E-05,2.75E-04,,
7,1.08E-01,1.02E+00,,
8,7.03E-05,1.71E-02,,
9,6.30E-05,1.34E+00,,
10,1.32E+00,2.46E+01,,
11,4.17E-04,1.04E-02,,
12,8.18E-01,9.16E+00,,
13,1.75E-02,1.02E-02,,
14,3.91E-01,4.47E+01,,
15,9.22E-05,5.70E-05,,
16,1.10E-02,4.91E-04,,
17,3.45E-04,4.56E-03,,
18,2.00E-04,,,
19,6.65E-04,,,
20,1.52E-02,5.45E-04,,
21,,,,
22,,,,
23,,,,
24,,,,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
30,,,,
31,,,,
32,,,,
33,,,,
34,,,,
35,,,,
36,,,,
37,,,,
38,,,,
39,,,,
40,,,,
41,,,,
42,,,,
43,,,,
44,,,,
45,,,,
46,,,,
47,,,,
48,,,,
49,,,,
50,,,,
51,,,,
52,,,,
53,,,,
54,,,,
55,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,,,,
61,,,,
62,,,,
63,,,,
64,,,,
65,,,,
66,,,,
67,2.72E-03,,,
68,,,,
69,,,,
70,,,,
71,,,,
72,,,,
73,,,,
74,,,,
75,,,,
76,,,,
77,,,,
78,,,,
79,,,,
80,,,,
81,,,,
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,,,,
88,,,,
89,,,,
90,,,,
91,,,,
92,,,,
93,,,,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
99,,,,
